Uniprot_AC,AFDB_Status,AFDB_pLDDT
A0A850LSZ3,Found (pLDDT missing),
A0A850LVU0,Found (pLDDT missing),
A0A850LRT7,Found (pLDDT missing),
A0A850LW58,Found (pLDDT missing),
A0A850LRK3,Found (pLDDT missing),
A0A850LU99,Found (pLDDT missing),
A0A850LRJ9,Found (pLDDT missing),
A0A850LUB1,Found (pLDDT missing),
A0A850LT02,Found (pLDDT missing),
A0A850LRS8,Found (pLDDT missing),
A0A850LVV0,Found (pLDDT missing),
A0A850LRU6,Found (pLDDT missing),
A0A850LRU7,Found (pLDDT missing),
A0A850LW69,Found (pLDDT missing),
A0A850LRL1,Found (pLDDT missing),
A0A850LUB0,Found (pLDDT missing),
A0A850LUC2,Found (pLDDT missing),
A0A850LT16,Found (pLDDT missing),
A0A850LRU5,Found (pLDDT missing),
A0A850LVW9,Found (pLDDT missing),
A0A850LRW4,Found (pLDDT missing),
A0A850LRW5,Found (pLDDT missing),
A0A850LW85,Found (pLDDT missing),
A0A850LRM5,Found (pLDDT missing),
A0A850LUD0,Found (pLDDT missing),
A0A850LRM0,Found (pLDDT missing),
A0A850LUE1,Found (pLDDT missing),
A0A850LT35,Found (pLDDT missing),
A0A850LRV4,Found (pLDDT missing),
A0A850LRX5,Found (pLDDT missing),
A0A850LRW9,Found (pLDDT missing),
A0A850LRN4,Found (pLDDT missing),
A0A850LRM8,Found (pLDDT missing),
A0A850LUF3,Found (pLDDT missing),
A0A850LT47,Found (pLDDT missing),
A0A850LRW2,Found (pLDDT missing),
A0A850LVY6,Found (pLDDT missing),
A0A850LRY2,Found (pLDDT missing),
A0A850LRX7,Found (pLDDT missing),
A0A850LWA7,Found (pLDDT missing),
A0A850LRN9,Found (pLDDT missing),
A0A850LUE8,Found (pLDDT missing),
A0A850LRN8,Found (pLDDT missing),
A0A850LUG2,Found (pLDDT missing),
A0A850LT57,Found (pLDDT missing),
A0A850LRX0,Found (pLDDT missing),
A0A850LVZ4,Found (pLDDT missing),
A0A850LRY6,Found (pLDDT missing),
A0A850LWB2,Found (pLDDT missing),
A0A850LRP7,Found (pLDDT missing),
A0A850LUF9,Found (pLDDT missing),
A0A850LRP4,Found (pLDDT missing),
A0A850LUH1,Found (pLDDT missing),
A0A850LT67,Found (pLDDT missing),
A0A850LRY0,Found (pLDDT missing),
A0A850LW08,Found (pLDDT missing),
A0A850LRZ9,Found (pLDDT missing),
A0A850LRZ5,Found (pLDDT missing),
A0A850LWC1,Found (pLDDT missing),
A0A850LRQ1,Found (pLDDT missing),
A0A850LUG8,Found (pLDDT missing),
A0A850LRQ2,Found (pLDDT missing),
A0A850LUI2,Found (pLDDT missing),
A0A850LT77,Found (pLDDT missing),
A0A850LRZ0,Found (pLDDT missing),
A0A850LS07,Found (pLDDT missing),
A0A850LWD1,Found (pLDDT missing),
A0A850LRQ9,Found (pLDDT missing),
A0A850LRR0,Found (pLDDT missing),
A0A850LUI9,Found (pLDDT missing),
A0A850LT85,Found (pLDDT missing),
A0A850LS02,Found (pLDDT missing),
A0A850LW29,Found (pLDDT missing),
A0A850LS18,Found (pLDDT missing),
A0A850LS16,Found (pLDDT missing),
A0A850LWE0,Found (pLDDT missing),
A0A850LUI8,Found (pLDDT missing),
A0A850LRR8,Found (pLDDT missing),
A0A850LT92,Found (pLDDT missing),
A0A850LW40,Found (pLDDT missing),
A0A850LS26,Found (pLDDT missing),
A0A850LS27,Found (pLDDT missing),
A0A850LWE8,Found (pLDDT missing),
A0A850LRS7,Found (pLDDT missing),
A0A850LUJ6,Found (pLDDT missing),
A0A850LRS4,Found (pLDDT missing),
A0A850LUL0,Found (pLDDT missing),
A0A850LTA2,Found (pLDDT missing),
A0A850LS17,Found (pLDDT missing),
A0A850LW44,Found (pLDDT missing),
A0A850LS38,Found (pLDDT missing),
A0A850LUK6,Found (pLDDT missing),
A0A850LRT1,Found (pLDDT missing),
A0A850LUM2,Found (pLDDT missing),
A0A850LTA9,Found (pLDDT missing),
A0A850LS29,Found (pLDDT missing),
A0A850LS48,Found (pLDDT missing),
A0A850LS44,Found (pLDDT missing),
A0A850LWG5,Found (pLDDT missing),
A0A850LRU0,Found (pLDDT missing),
A0A850LUL8,Found (pLDDT missing),
A0A850LRT9,Found (pLDDT missing),
A0A850LUN2,Found (pLDDT missing),
A0A850LTB7,Found (pLDDT missing),
A0A850LS37,Found (pLDDT missing),
A0A850LS57,Found (pLDDT missing),
A0A850LS50,Found (pLDDT missing),
A0A850LWH4,Found (pLDDT missing),
A0A850LUM7,Found (pLDDT missing),
A0A850LRU8,Found (pLDDT missing),
A0A850LUP2,Found (pLDDT missing),
A0A850LTC5,Found (pLDDT missing),
A0A850LS47,Found (pLDDT missing),
A0A850LW73,Found (pLDDT missing),
A0A850LS59,Found (pLDDT missing),
A0A850LRV7,Found (pLDDT missing),
A0A850LRV6,Found (pLDDT missing),
A0A850LTD4,Found (pLDDT missing),
A0A850LW81,Found (pLDDT missing),
A0A850LS73,Found (pLDDT missing),
A0A850LS67,Found (pLDDT missing),
A0A850LWJ1,Found (pLDDT missing),
A0A850LRW6,Found (pLDDT missing),
A0A850LUP8,Found (pLDDT missing),
A0A850LRW1,Found (pLDDT missing),
A0A850LUQ8,Found (pLDDT missing),
A0A850LTE2,Found (pLDDT missing),
A0A850LS65,Found (pLDDT missing),
A0A850LW94,Found (pLDDT missing),
A0A850LS83,Found (pLDDT missing),
A0A850LS76,Found (pLDDT missing),
A0A850LWK1,Found (pLDDT missing),
A0A850LRX4,Found (pLDDT missing),
A0A850LUQ9,Found (pLDDT missing),
A0A850LRW8,Found (pLDDT missing),
A0A850LUR9,Found (pLDDT missing),
A0A850LTF0,Found (pLDDT missing),
A0A850LS75,Found (pLDDT missing),
A0A850LWA6,Found (pLDDT missing),
A0A850LS95,Found (pLDDT missing),
A0A850LS85,Found (pLDDT missing),
A0A850LWK9,Found (pLDDT missing),
A0A850LRX9,Found (pLDDT missing),
A0A850LUS0,Found (pLDDT missing),
A0A850LRY1,Found (pLDDT missing),
A0A850LUS8,Found (pLDDT missing),
A0A850LTG0,Found (pLDDT missing),
A0A850LS81,Found (pLDDT missing),
A0A850LWB7,Found (pLDDT missing),
A0A850LSA3,Found (pLDDT missing),
A0A850LWL9,Found (pLDDT missing),
A0A850LRY7,Found (pLDDT missing),
A0A850LRY8,Found (pLDDT missing),
A0A850LUT7,Found (pLDDT missing),
A0A850LTG8,Found (pLDDT missing),
A0A850LS91,Found (pLDDT missing),
A0A850LWC5,Found (pLDDT missing),
A0A850LSB3,Found (pLDDT missing),
A0A850LSA0,Found (pLDDT missing),
A0A850LWN0,Found (pLDDT missing),
A0A850LRZ6,Found (pLDDT missing),
A0A850LUT9,Found (pLDDT missing),
A0A850LTH7,Found (pLDDT missing),
A0A850LS99,Found (pLDDT missing),
A0A850LWD5,Found (pLDDT missing),
A0A850LSC1,Found (pLDDT missing),
A0A850LSA9,Found (pLDDT missing),
A0A850LWN7,Found (pLDDT missing),
A0A850LS04,Found (pLDDT missing),
A0A850LUV1,Found (pLDDT missing),
A0A850LS05,Found (pLDDT missing),
A0A850LUV6,Found (pLDDT missing),
A0A850LTI7,Found (pLDDT missing),
A0A850LSB0,Found (pLDDT missing),
A0A850LWE3,Found (pLDDT missing),
A0A850LSD1,Found (pLDDT missing),
A0A850LSB7,Found (pLDDT missing),
A0A850LWP6,Found (pLDDT missing),
A0A850LUV9,Found (pLDDT missing),
A0A850LS13,Found (pLDDT missing),
A0A850LUW6,Found (pLDDT missing),
A0A850LTJ6,Found (pLDDT missing),
A0A850LSC0,Found (pLDDT missing),
A0A850LWF3,Found (pLDDT missing),
A0A850LSD7,Found (pLDDT missing),
A0A850LSC4,Found (pLDDT missing),
A0A850LWQ6,Found (pLDDT missing),
A0A850LS21,Found (pLDDT missing),
A0A850LUX0,Found (pLDDT missing),
A0A850LS22,Found (pLDDT missing),
A0A850LTK7,Found (pLDDT missing),
A0A850LSC9,Found (pLDDT missing),
A0A850LWG3,Found (pLDDT missing),
A0A850LSE7,Found (pLDDT missing),
A0A850LSD3,Found (pLDDT missing),
A0A850LWR9,Found (pLDDT missing),
A0A850LS32,Found (pLDDT missing),
A0A850LUY0,Found (pLDDT missing),
A0A850LS31,Found (pLDDT missing),
A0A850LUY7,Found (pLDDT missing),
A0A850LTL4,Found (pLDDT missing),
A0A850LSD6,Found (pLDDT missing),
A0A850LWH3,Found (pLDDT missing),
A0A850LSF7,Found (pLDDT missing),
A0A850LSE3,Found (pLDDT missing),
A0A850LWS7,Found (pLDDT missing),
A0A850LS39,Found (pLDDT missing),
A0A850LUZ4,Found (pLDDT missing),
A0A850LS42,Found (pLDDT missing),
A0A850LUZ8,Found (pLDDT missing),
A0A850LTM4,Found (pLDDT missing),
A0A850LSE6,Found (pLDDT missing),
A0A850LWI4,Found (pLDDT missing),
A0A850LSG7,Found (pLDDT missing),
A0A850LWT8,Found (pLDDT missing),
A0A850LS54,Found (pLDDT missing),
A0A850LV05,Found (pLDDT missing),
A0A850LS52,Found (pLDDT missing),
A0A850LV08,Found (pLDDT missing),
A0A850LTN2,Found (pLDDT missing),
A0A850LWJ4,Found (pLDDT missing),
A0A850LSH8,Found (pLDDT missing),
A0A850LSG1,Found (pLDDT missing),
A0A850LWU9,Found (pLDDT missing),
A0A850LS61,Found (pLDDT missing),
A0A850LV14,Found (pLDDT missing),
A0A850LS60,Found (pLDDT missing),
A0A850LV19,Found (pLDDT missing),
A0A850LTP4,Found (pLDDT missing),
A0A850LSG6,Found (pLDDT missing),
A0A850LWK4,Found (pLDDT missing),
A0A850LSI7,Found (pLDDT missing),
A0A850LSG9,Found (pLDDT missing),
A0A850LWV8,Found (pLDDT missing),
A0A850LS70,Found (pLDDT missing),
A0A850LV25,Found (pLDDT missing),
A0A850LS69,Found (pLDDT missing),
A0A850LTQ2,Found (pLDDT missing),
A0A850LSH5,Found (pLDDT missing),
A0A850LWL5,Found (pLDDT missing),
A0A850LSJ8,Found (pLDDT missing),
A0A850LSH6,Found (pLDDT missing),
A0A850LTR3,Found (pLDDT missing),
A0A850LSI6,Found (pLDDT missing),
A0A850LWM5,Found (pLDDT missing),
A0A850LSI4,Found (pLDDT missing),
A0A850LWX9,Found (pLDDT missing),
A0A850LS86,Found (pLDDT missing),
A0A850LV46,Found (pLDDT missing),
A0A850LS88,Found (pLDDT missing),
A0A850LV53,Found (pLDDT missing),
A0A850LTR9,Found (pLDDT missing),
A0A850LSJ6,Found (pLDDT missing),
A0A850LWN5,Found (pLDDT missing),
A0A850LSL8,Found (pLDDT missing),
A0A850LSJ4,Found (pLDDT missing),
A0A850LWY9,Found (pLDDT missing),
A0A850LS96,Found (pLDDT missing),
A0A850LV64,Found (pLDDT missing),
A0A850LS98,Found (pLDDT missing),
A0A850LV62,Found (pLDDT missing),
A0A850LSK8,Found (pLDDT missing),
A0A850LWP5,Found (pLDDT missing),
A0A850LWZ9,Found (pLDDT missing),
A0A850LSA2,Found (pLDDT missing),
A0A850LV72,Found (pLDDT missing),
A0A850LSA8,Found (pLDDT missing),
A0A850LV74,Found (pLDDT missing),
A0A850LTU1,Found (pLDDT missing),
A0A850LSL6,Found (pLDDT missing),
A0A850LWQ5,Found (pLDDT missing),
A0A850LSN8,Found (pLDDT missing),
A0A850LSL0,Found (pLDDT missing),
A0A850LX10,Found (pLDDT missing),
A0A850LSB1,Found (pLDDT missing),
A0A850LV81,Found (pLDDT missing),
A0A850LSB4,Found (pLDDT missing),
A0A850LTU9,Found (pLDDT missing),
A0A850LSM6,Found (pLDDT missing),
A0A850LWR7,Found (pLDDT missing),
A0A850LSP7,Found (pLDDT missing),
A0A850LSL9,Found (pLDDT missing),
A0A850LX21,Found (pLDDT missing),
A0A850LSB9,Found (pLDDT missing),
A0A850LV93,Found (pLDDT missing),
A0A850LSC3,Found (pLDDT missing),
A0A850LV96,Found (pLDDT missing),
A0A850LTV9,Found (pLDDT missing),
A0A850LSN7,Found (pLDDT missing),
A0A850LWT0,Found (pLDDT missing),
A0A850LSM4,Found (pLDDT missing),
A0A850LSC7,Found (pLDDT missing),
A0A850LVA5,Found (pLDDT missing),
A0A850LSD4,Found (pLDDT missing),
A0A850LVB2,Found (pLDDT missing),
A0A850LTW9,Found (pLDDT missing),
A0A850LSP8,Found (pLDDT missing),
A0A850LWT9,Found (pLDDT missing),
A0A850LSR7,Found (pLDDT missing),
A0A850LX42,Found (pLDDT missing),
A0A850LSD5,Found (pLDDT missing),
A0A850LTY0,Found (pLDDT missing),
A0A850LSQ8,Found (pLDDT missing),
A0A850LSP3,Found (pLDDT missing),
A0A850LX54,Found (pLDDT missing),
A0A850LSE4,Found (pLDDT missing),
A0A850LVC4,Found (pLDDT missing),
A0A850LSF4,Found (pLDDT missing),
A0A850LVD2,Found (pLDDT missing),
A0A850LTZ1,Found (pLDDT missing),
A0A850LSR8,Found (pLDDT missing),
A0A850LWV6,Found (pLDDT missing),
A0A850LST2,Found (pLDDT missing),
A0A850LSQ2,Found (pLDDT missing),
A0A850LVE2,Found (pLDDT missing),
A0A850LSG4,Found (pLDDT missing),
A0A850LVD9,Found (pLDDT missing),
A0A850LSS7,Found (pLDDT missing),
A0A850LWW7,Found (pLDDT missing),
A0A850LSU1,Found (pLDDT missing),
A0A850LSR1,Found (pLDDT missing),
A0A850LX71,Found (pLDDT missing),
A0A850LSG2,Found (pLDDT missing),
A0A850LVF3,Found (pLDDT missing),
A0A850LSH3,Found (pLDDT missing),
A0A850LU09,Found (pLDDT missing),
A0A850LST9,Found (pLDDT missing),
A0A850LSV1,Found (pLDDT missing),
A0A850LX82,Found (pLDDT missing),
A0A850LSH2,Found (pLDDT missing),
A0A850LVG3,Found (pLDDT missing),
A0A850LSI3,Found (pLDDT missing),
A0A850LVF8,Found (pLDDT missing),
A0A850LSW1,Found (pLDDT missing),
A0A850LST0,Found (pLDDT missing),
A0A850LX96,Found (pLDDT missing),
A0A850LSH9,Found (pLDDT missing),
A0A850LVH2,Found (pLDDT missing),
A0A850LU29,Found (pLDDT missing),
A0A850LSV5,Found (pLDDT missing),
A0A850LX00,Found (pLDDT missing),
A0A850LSX2,Found (pLDDT missing),
A0A850LSU0,Found (pLDDT missing),
A0A850LXA5,Found (pLDDT missing),
A0A850LSI8,Found (pLDDT missing),
A0A850LVH9,Found (pLDDT missing),
A0A850LSJ9,Found (pLDDT missing),
A0A850LVI4,Found (pLDDT missing),
A0A850LU39,Found (pLDDT missing),
A0A850LSW3,Found (pLDDT missing),
A0A850LX09,Found (pLDDT missing),
A0A850LSY1,Found (pLDDT missing),
A0A850LSU5,Found (pLDDT missing),
A0A850LXB4,Found (pLDDT missing),
A0A850LVJ2,Found (pLDDT missing),
A0A850LSK6,Found (pLDDT missing),
A0A850LVJ5,Found (pLDDT missing),
A0A850LX20,Found (pLDDT missing),
A0A850LSZ1,Found (pLDDT missing),
A0A850LSV3,Found (pLDDT missing),
A0A850LXC7,Found (pLDDT missing),
A0A850LSK7,Found (pLDDT missing),
A0A850LVK1,Found (pLDDT missing),
A0A850LSM0,Found (pLDDT missing),
A0A850LU59,Found (pLDDT missing),
A0A850LSY3,Found (pLDDT missing),
A0A850LX31,Found (pLDDT missing),
A0A850LT01,Found (pLDDT missing),
A0A850LSW2,Found (pLDDT missing),
A0A850LXD9,Found (pLDDT missing),
A0A850LSL4,Found (pLDDT missing),
A0A850LVL1,Found (pLDDT missing),
A0A850LSN0,Found (pLDDT missing),
A0A850LVL6,Found (pLDDT missing),
A0A850LSZ5,Found (pLDDT missing),
A0A850LX40,Found (pLDDT missing),
A0A850LT13,Found (pLDDT missing),
A0A850LXE9,Found (pLDDT missing),
A0A850LSM5,Found (pLDDT missing),
A0A850LVM3,Found (pLDDT missing),
A0A850LSN5,Found (pLDDT missing),
A0A850LVN0,Found (pLDDT missing),
A0A850LT06,Found (pLDDT missing),
A0A850LX50,Found (pLDDT missing),
A0A850LT26,Found (pLDDT missing),
A0A850LSY0,Found (pLDDT missing),
A0A850LXF8,Found (pLDDT missing),
A0A850LSN6,Found (pLDDT missing),
A0A850LVN1,Found (pLDDT missing),
A0A850LSP4,Found (pLDDT missing),
A0A850LT11,Found (pLDDT missing),
A0A850LX64,Found (pLDDT missing),
A0A850LT36,Found (pLDDT missing),
A0A850LSY9,Found (pLDDT missing),
A0A850LSP6,Found (pLDDT missing),
A0A850LVP0,Found (pLDDT missing),
A0A850LSQ4,Found (pLDDT missing),
A0A850LVQ1,Found (pLDDT missing),
A0A850LU93,Found (pLDDT missing),
A0A850LT22,Found (pLDDT missing),
A0A850LX76,Found (pLDDT missing),
A0A850LSZ8,Found (pLDDT missing),
A0A850LXH9,Found (pLDDT missing),
A0A850LVP9,Found (pLDDT missing),
A0A850LUA4,Found (pLDDT missing),
A0A850LT33,Found (pLDDT missing),
A0A850LX88,Found (pLDDT missing),
A0A850LT56,Found (pLDDT missing),
A0A850LT08,Found (pLDDT missing),
A0A850LXJ1,Found (pLDDT missing),
A0A850LSR2,Found (pLDDT missing),
A0A850LVR0,Found (pLDDT missing),
A0A850LSS2,Found (pLDDT missing),
A0A850LVS1,Found (pLDDT missing),
A0A850LUB4,Found (pLDDT missing),
A0A850LT40,Found (pLDDT missing),
A0A850LX98,Found (pLDDT missing),
A0A850LT66,Found (pLDDT missing),
A0A850LXK1,Found (pLDDT missing),
A0A850LSR9,Found (pLDDT missing),
A0A850LVS2,Found (pLDDT missing),
A0A850LSS9,Found (pLDDT missing),
A0A850LVT2,Found (pLDDT missing),
A0A850LUC0,Found (pLDDT missing),
A0A850LT52,Found (pLDDT missing),
A0A850LXA7,Found (pLDDT missing),
A0A850LT76,Found (pLDDT missing),
A0A850LT24,Found (pLDDT missing),
A0A850LXL2,Found (pLDDT missing),
A0A850LVT1,Found (pLDDT missing),
A0A850LST7,Found (pLDDT missing),
A0A850LVU2,Found (pLDDT missing),
A0A850LUC7,Found (pLDDT missing),
A0A850LT61,Found (pLDDT missing),
A0A850LXB8,Found (pLDDT missing),
A0A850LT86,Found (pLDDT missing),
A0A850LT32,Found (pLDDT missing),
A0A850LXM1,Found (pLDDT missing),
A0A850LST6,Found (pLDDT missing),
A0A850LSU8,Found (pLDDT missing),
A0A850LVV2,Found (pLDDT missing),
A0A850LUD5,Found (pLDDT missing),
A0A850LT72,Found (pLDDT missing),
A0A850LXC8,Found (pLDDT missing),
A0A850LT99,Found (pLDDT missing),
A0A850LT41,Found (pLDDT missing),
A0A850LXN1,Found (pLDDT missing),
A0A850LVV1,Found (pLDDT missing),
A0A850LSV9,Found (pLDDT missing),
A0A850LVW1,Found (pLDDT missing),
A0A850LUE6,Found (pLDDT missing),
A0A850LT82,Found (pLDDT missing),
A0A850LXD8,Found (pLDDT missing),
A0A850LTB0,Found (pLDDT missing),
A0A850LT51,Found (pLDDT missing),
A0A850LXP3,Found (pLDDT missing),
A0A850LSV8,Found (pLDDT missing),
A0A850LVW0,Found (pLDDT missing),
A0A850LUG1,Found (pLDDT missing),
A0A850LXF0,Found (pLDDT missing),
A0A850LTC0,Found (pLDDT missing),
A0A850LT59,Found (pLDDT missing),
A0A850LXQ9,Found (pLDDT missing),
A0A850LSW7,Found (pLDDT missing),
A0A850LVX0,Found (pLDDT missing),
A0A850LSX8,Found (pLDDT missing),
A0A850LUH0,Found (pLDDT missing),
A0A850LTC9,Found (pLDDT missing),
A0A850LT69,Found (pLDDT missing),
A0A850LXR7,Found (pLDDT missing),
A0A850LSX7,Found (pLDDT missing),
A0A850LVY0,Found (pLDDT missing),
A0A850LSY8,Found (pLDDT missing),
A0A850LVZ2,Found (pLDDT missing),
A0A850LUI0,Found (pLDDT missing),
A0A850LTB3,Found (pLDDT missing),
A0A850LTD9,Found (pLDDT missing),
A0A850LXS7,Found (pLDDT missing),
A0A850LW03,Found (pLDDT missing),
A0A850LUJ2,Found (pLDDT missing),
A0A850LXH5,Found (pLDDT missing),
A0A850LTE8,Found (pLDDT missing),
A0A850LXT9,Found (pLDDT missing),
A0A850LSZ4,Found (pLDDT missing),
A0A850LW13,Found (pLDDT missing),
A0A850LUK1,Found (pLDDT missing),
A0A850LTD2,Found (pLDDT missing),
A0A850LTF8,Found (pLDDT missing),
A0A850LT94,Found (pLDDT missing),
A0A850LXV0,Found (pLDDT missing),
A0A850LT05,Found (pLDDT missing),
A0A850LW11,Found (pLDDT missing),
A0A850LW24,Found (pLDDT missing),
A0A850LTE1,Found (pLDDT missing),
A0A850LXJ5,Found (pLDDT missing),
A0A850LTG9,Found (pLDDT missing),
A0A850LTA5,Found (pLDDT missing),
A0A850LXV9,Found (pLDDT missing),
A0A850LT12,Found (pLDDT missing),
A0A850LT23,Found (pLDDT missing),
A0A850LTF1,Found (pLDDT missing),
A0A850LXK5,Found (pLDDT missing),
A0A850LTH6,Found (pLDDT missing),
A0A850LTB6,Found (pLDDT missing),
A0A850LXW9,Found (pLDDT missing),
A0A850LT21,Found (pLDDT missing),
A0A850LW31,Found (pLDDT missing),
A0A850LW47,Found (pLDDT missing),
A0A850LUM9,Found (pLDDT missing),
A0A850LTG1,Found (pLDDT missing),
A0A850LXL6,Found (pLDDT missing),
A0A850LTI6,Found (pLDDT missing),
A0A850LXY1,Found (pLDDT missing),
A0A850LT30,Found (pLDDT missing),
A0A850LT44,Found (pLDDT missing),
A0A850LW59,Found (pLDDT missing),
A0A850LUN6,Found (pLDDT missing),
A0A850LTH3,Found (pLDDT missing),
A0A850LTJ7,Found (pLDDT missing),
A0A850LXZ1,Found (pLDDT missing),
A0A850LT39,Found (pLDDT missing),
A0A850LT50,Found (pLDDT missing),
A0A850LW70,Found (pLDDT missing),
A0A850LUP5,Found (pLDDT missing),
A0A850LTI2,Found (pLDDT missing),
A0A850LXN6,Found (pLDDT missing),
A0A850LTK8,Found (pLDDT missing),
A0A850LTE4,Found (pLDDT missing),
A0A850LY03,Found (pLDDT missing),
A0A850LT49,Found (pLDDT missing),
A0A850LW61,Found (pLDDT missing),
A0A850LW79,Found (pLDDT missing),
A0A850LUQ5,Found (pLDDT missing),
A0A850LXQ0,Found (pLDDT missing),
A0A850LTL9,Found (pLDDT missing),
A0A850LY13,Found (pLDDT missing),
A0A850LT58,Found (pLDDT missing),
A0A850LW71,Found (pLDDT missing),
A0A850LT70,Found (pLDDT missing),
A0A850LW88,Found (pLDDT missing),
A0A850LTN3,Found (pLDDT missing),
A0A850LTG3,Found (pLDDT missing),
A0A850LY25,Found (pLDDT missing),
A0A850LT68,Found (pLDDT missing),
A0A850LT80,Found (pLDDT missing),
A0A850LW98,Found (pLDDT missing),
A0A850LUS6,Found (pLDDT missing),
A0A850LXS0,Found (pLDDT missing),
A0A850LTP3,Found (pLDDT missing),
A0A850LTH2,Found (pLDDT missing),
A0A850LT78,Found (pLDDT missing),
A0A850LT89,Found (pLDDT missing),
A0A850LWA8,Found (pLDDT missing),
A0A850LUT8,Found (pLDDT missing),
A0A850LTM0,Found (pLDDT missing),
A0A850LXT2,Found (pLDDT missing),
A0A850LTQ3,Found (pLDDT missing),
A0A850LTI3,Found (pLDDT missing),
A0A850LY44,Found (pLDDT missing),
A0A850LT90,Found (pLDDT missing),
A0A850LWA1,Found (pLDDT missing),
A0A850LT97,Found (pLDDT missing),
A0A850LWB8,Found (pLDDT missing),
A0A850LUU9,Found (pLDDT missing),
A0A850LTN0,Found (pLDDT missing),
A0A850LXU2,Found (pLDDT missing),
A0A850LTR1,Found (pLDDT missing),
A0A850LTI8,Found (pLDDT missing),
A0A850LY54,Found (pLDDT missing),
A0A850LT95,Found (pLDDT missing),
A0A850LWC8,Found (pLDDT missing),
A0A850LTP0,Found (pLDDT missing),
A0A850LXV2,Found (pLDDT missing),
A0A850LTJ8,Found (pLDDT missing),
A0A850LY65,Found (pLDDT missing),
A0A850LWC7,Found (pLDDT missing),
A0A850LTB5,Found (pLDDT missing),
A0A850LWD9,Found (pLDDT missing),
A0A850LUX2,Found (pLDDT missing),
A0A850LTQ0,Found (pLDDT missing),
A0A850LTT0,Found (pLDDT missing),
A0A850LTK5,Found (pLDDT missing),
A0A850LY78,Found (pLDDT missing),
A0A850LTB4,Found (pLDDT missing),
A0A850LWD7,Found (pLDDT missing),
A0A850LTC6,Found (pLDDT missing),
A0A850LWF1,Found (pLDDT missing),
A0A850LUX9,Found (pLDDT missing),
A0A850LTR0,Found (pLDDT missing),
A0A850LTT9,Found (pLDDT missing),
A0A850LTL3,Found (pLDDT missing),
A0A850LY89,Found (pLDDT missing),
A0A850LTC4,Found (pLDDT missing),
A0A850LTD7,Found (pLDDT missing),
A0A850LWG2,Found (pLDDT missing),
A0A850LUY9,Found (pLDDT missing),
A0A850LXY5,Found (pLDDT missing),
A0A850LTV1,Found (pLDDT missing),
A0A850LTM2,Found (pLDDT missing),
A0A850LTD5,Found (pLDDT missing),
A0A850LWF8,Found (pLDDT missing),
A0A850LTE6,Found (pLDDT missing),
A0A850LWH0,Found (pLDDT missing),
A0A850LV00,Found (pLDDT missing),
A0A850LTT2,Found (pLDDT missing),
A0A850LXZ5,Found (pLDDT missing),
A0A850LTW4,Found (pLDDT missing),
A0A850LTM9,Found (pLDDT missing),
A0A850LYB1,Found (pLDDT missing),
A0A850LTE3,Found (pLDDT missing),
A0A850LWG9,Found (pLDDT missing),
A0A850LTF6,Found (pLDDT missing),
A0A850LWI1,Found (pLDDT missing),
A0A850LV16,Found (pLDDT missing),
A0A850LY05,Found (pLDDT missing),
A0A850LTX5,Found (pLDDT missing),
A0A850LTN9,Found (pLDDT missing),
A0A850LYC2,Found (pLDDT missing),
A0A850LTF3,Found (pLDDT missing),
A0A850LWI2,Found (pLDDT missing),
A0A850LTG5,Found (pLDDT missing),
A0A850LWJ3,Found (pLDDT missing),
A0A850LV28,Found (pLDDT missing),
A0A850LTV0,Found (pLDDT missing),
A0A850LTY5,Found (pLDDT missing),
A0A850LTP9,Found (pLDDT missing),
A0A850LYD3,Found (pLDDT missing),
A0A850LTG2,Found (pLDDT missing),
A0A850LWJ2,Found (pLDDT missing),
A0A850LTH4,Found (pLDDT missing),
A0A850LWK6,Found (pLDDT missing),
A0A850LV37,Found (pLDDT missing),
A0A850LTW2,Found (pLDDT missing),
A0A850LY28,Found (pLDDT missing),
A0A850LTZ2,Found (pLDDT missing),
A0A850LYE3,Found (pLDDT missing),
A0A850LWK2,Found (pLDDT missing),
A0A850LTI4,Found (pLDDT missing),
A0A850LWL6,Found (pLDDT missing),
A0A850LV50,Found (pLDDT missing),
A0A850LTX3,Found (pLDDT missing),
A0A850LU05,Found (pLDDT missing),
A0A850LTR6,Found (pLDDT missing),
A0A850LYF3,Found (pLDDT missing),
A0A850LTI1,Found (pLDDT missing),
A0A850LWL2,Found (pLDDT missing),
A0A850LTJ4,Found (pLDDT missing),
A0A850LWM9,Found (pLDDT missing),
A0A850LV63,Found (pLDDT missing),
A0A850LTY3,Found (pLDDT missing),
A0A850LY47,Found (pLDDT missing),
A0A850LU16,Found (pLDDT missing),
A0A850LTS6,Found (pLDDT missing),
A0A850LYG2,Found (pLDDT missing),
A0A850LTJ1,Found (pLDDT missing),
A0A850LTJ9,Found (pLDDT missing),
A0A850LWN9,Found (pLDDT missing),
A0A850LTZ6,Found (pLDDT missing),
A0A850LY57,Found (pLDDT missing),
A0A850LTT6,Found (pLDDT missing),
A0A850LYH5,Found (pLDDT missing),
A0A850LWN1,Found (pLDDT missing),
A0A850LTK9,Found (pLDDT missing),
A0A850LWQ1,Found (pLDDT missing),
A0A850LV87,Found (pLDDT missing),
A0A850LU07,Found (pLDDT missing),
A0A850LY67,Found (pLDDT missing),
A0A850LU37,Found (pLDDT missing),
A0A850LTU4,Found (pLDDT missing),
A0A850LYI6,Found (pLDDT missing),
A0A850LTL1,Found (pLDDT missing),
